"","year","budget","company","country","director","genre","gross","name","rating","released","runtime","score","star","votes","writer","Factor","Dollar","Equivalent","Newbudget","Newgross"
"95",1986,1e+07,"Touchstone Pictures","USA","Jeff Kanew","Comedy",21458229,"Tough Guys","PG","1986-10-03",104,6.2,"Burt Lancaster",5584,"James Orr",2.21,"$1,093.00 ","$2,414.32 ",22100000,47422686.09
"96",1986,0,"Compañía Iberoamericana de TV","Spain","Pedro Almodóvar","Drama",206952,"Matador","NC-17","1986-03-07",110,7,"Assumpta Serna",8959,"Pedro Almodóvar",2.21,"$1,093.00 ","$2,414.32 ",0,457363.92
"97",1986,0,"New World Pictures","USA","Harley Cokeliss","Action",6637565,"Black Moon Rising","R","1986-01-10",100,5.4,"Tommy Lee Jones",4045,"John Carpenter",2.21,"$1,093.00 ","$2,414.32 ",0,14669018.65
"98",1986,1.2e+07,"Cinema Group Ventures","USA","Roger Spottiswoode","Comedy",7790931,"The Best of Times","PG-13","1986-01-31",104,5.9,"Robin Williams",5523,"Ron Shelton",2.21,"$1,093.00 ","$2,414.32 ",26520000,17217957.51
"99",1986,2e+06,"Paragon Arts International","UK","Kevin Tenney","Horror",7369373,"Witchboard","R","1987-03-13",98,5.7,"Todd Allen",4744,"Kevin Tenney",2.21,"$1,093.00 ","$2,414.32 ",4420000,16286314.33
"100",1986,1.4e+07,"Touchstone Pictures","USA","Paul Mazursky","Comedy",62134225,"Down and Out in Beverly Hills","R","1986-01-31",103,6.1,"Nick Nolte",13569,"René Fauchois",2.21,"$1,093.00 ","$2,414.32 ",30940000,137316637.25
"101",1986,8500000,"Capital Equipment Leasing","UK","Trevor Nunn","Biography",277646,"Lady Jane","PG-13","1986-02-07",136,7.2,"Helena Bonham Carter",5364,"Chris Bryant",2.21,"$1,093.00 ","$2,414.32 ",18785000,613597.66
"102",1986,0,"Columbia Pictures Corporation","USA","Thomas Michael Donnelly","Crime",7634909,"Quicksilver","PG","1986-02-14",105,5.6,"Kevin Bacon",3720,"Thomas Michael Donnelly",2.21,"$1,093.00 ","$2,414.32 ",0,16873148.89
"103",1986,0,"Sunbow Productions","USA","Mike Joens","Animation",5958456,"My Little Pony: The Movie","G","1986-06-06",86,6,"Danny DeVito",2125,"George Arthur Bloom",2.21,"$1,093.00 ","$2,414.32 ",0,13168187.76
"104",1986,0,"Virgin Vision","UK","Ken Russell","Horror",916172,"Gothic","R","1987-04-10",87,5.7,"Gabriel Byrne",5843,"Lord Byron",2.21,"$1,093.00 ","$2,414.32 ",0,2024740.12
"105",1986,1.8e+07,"Producers Sales Organization (PSO)","USA","Hal Ashby","Action",1305114,"8 Million Ways to Die","R","1986-04-25",115,5.7,"Jeff Bridges",3607,"Lawrence Block",2.21,"$1,093.00 ","$2,414.32 ",39780000,2884301.94
