"","X","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"6059",6358,2014,"2015-09-25","The Keeping Room","Gilbert Films","USA","R","Drama",0,0.027166,0,0.02825264,0.02825264,95,4650,6,"Daniel Barber","Brit Marling","Julia Hart"
"6060",6359,2014,"2014-06-20","Think Like a Man Too","LStar Capital","USA","PG-13","Comedy",24,65.182182,24.96,67.78946928,42.82946928,106,16706,5.8,"Tim Story","Kevin Hart","Keith Merryman"
"6061",6360,2014,"2014-02-14","About Last Night","Screen Gems","USA","R","Comedy",12.5,48.637684,13,50.58319136,37.58319136,100,18519,6.1,"Steve Pink","Kevin Hart","Leslye Headland"
"6062",6363,2014,"2015-01-02","The Woman in Black 2: Angel of Death","Alliance Films","UK","PG-13","Drama",15,26.496583,15.6,27.55644632,11.95644632,98,22255,4.9,"Tom Harper","Helen McCrory","Jon Croker"
"6063",6364,2014,"2015-02-21","Rudderless","Unified Pictures","USA","R","Comedy",5,0.03744,5.2,0.0389376,-5.1610624,105,14913,7.5,"William H. Macy","Billy Crudup","Casey Twenter"
"6064",6365,2014,"2014-03-21","Muppets Most Wanted","Walt Disney Pictures","USA","PG","Adventure",50,51.183113,52,53.23043752,1.23043752,107,26380,6.4,"James Bobin","Ricky Gervais","James Bobin"
"6065",6366,2014,"2014-07-02","Earth to Echo","Relativity Media","USA","PG","Adventure",13,38.916903,13.52,40.47357912,26.95357912,91,16757,5.8,"Dave Green","Teo Halm","Henry Gayden"
"6066",6367,2014,"2015-10-09","Trash","Working Title Films","UK","R","Adventure",0,0.01023,0,0.0106392,0.0106392,114,16903,7.2,"Stephen Daldry","Rickson Tevez","Andy Mulligan"
"6067",6368,2014,"2014-09-12","No Good Deed","Screen Gems","USA","PG-13","Crime",13.2,52.543632,13.728,54.64537728,40.91737728,84,14236,5.6,"Sam Miller","Taraji P. Henson","Aimee Lagos"
"6068",6369,2014,"2014-08-22","When the Game Stands Tall","Affirm Films","USA","PG","Drama",15,30.127963,15.6,31.33308152,15.73308152,115,13653,6.7,"Thomas Carter","Jim Caviezel","Scott Marshall Smith"
"6069",6371,2014,"2014-04-11","13 Sins","RADiUS-TWC","USA","R","Horror",4,0.009134,4.16,0.00949936,-4.15050064,93,26332,6.3,"Daniel Stamm","Mark Webber","David Birke"
"6070",6372,2014,"2014-04-16","Heaven Is for Real","TriStar Pictures","USA","PG","Biography",12,91.443253,12.48,95.10098312,82.62098312,99,22482,5.8,"Randall Wallace","Greg Kinnear","Randall Wallace"
"6071",6373,2014,"2015-12-18","El recuerdo de Marnie","Dentsu","Japan","PG","Animation",0,0.765127,0,0.79573208,0.79573208,103,18970,7.8,"Hiromasa Yonebayashi","Sara Takatsuki","Joan G. Robinson"
"6072",6375,2014,"2014-04-18","A Haunted House 2","Baby Way Productions","USA","R","Comedy",4,17.329486,4.16,18.02266544,13.86266544,86,16194,4.7,"Michael Tiddes","Marlon Wayans","Marlon Wayans"
"6073",6376,2014,"2014-09-04","Barefoot","WhiteFlame Productions","USA","PG-13","Comedy",6,0.011766,6.24,0.01223664,-6.22776336,90,19248,6.6,"Andrew Fleming","Evan Rachel Wood","Stephen Zotnowski"
"6074",6377,2014,"2014-09-12","The Disappearance of Eleanor Rigby: Them","Unison Films","USA","R","Drama",3,0.58564,3.12,0.6090656,-2.5109344,123,9569,6.3,"Ned Benson","James McAvoy","Ned Benson"
"6075",6378,2014,"2014-04-25","The Quiet Ones","Exclusive Media Group","USA","PG-13","Horror",0.2,8.496112,0.208,8.83595648,8.62795648,98,16654,5.1,"John Pogue","Jared Harris","Craig Rosenberg"
"6076",6379,2014,"2014-08-08","God's Pocket","Park Pictures","USA","R","Crime",1,0.104401,1.04,0.10857704,-0.93142296,88,9072,6.1,"John Slattery","Philip Seymour Hoffman","Peter Dexter"
"6077",6380,2014,"2014-06-05","A Long Way Down","Wildgaze Films","UK","R","Comedy",0,0.013093,0,0.01361672,0.01361672,96,27014,6.4,"Pascal Chaumeil","Pierce Brosnan","Nick Hornby"
