conrinc,gunlaw,god,age,gender1
12447.5,1,1,51,2
28725,1,6,47,2
10532.5,0,5,49,2
3447,2,5,22,2
34470,0,6,36,1
0,1,4,38,2
21065,2,1,22,2
0,0,6,46,1
0,1,6,63,1
1532,0,5,19,2
34470,2,6,52,1
2681,1,5,35,2
0,1,3,64,1
0,1,6,49,2
24895,0,6,45,1
0,0,6,68,1
0,2,6,45,2
63195,0,6,55,2
0,1,6,62,1
76600,2,6,31,2
63195,0,3,54,1
4979,1,5,21,1
383,8,6,23,1
2681,0,6,34,1
383,0,2,45,1
16277.5,1,1,28,1
18192.5,1,6,34,1
0,1,6,74,2
0,2,6,25,1
2681,1,6,39,2
24895,0,6,38,1
0,1,6,80,1
12447.5,1,5,34,2
2681,0,6,71,1
0,2,6,33,1
8617.5,1,6,32,1
42130,2,6,37,1
0,0,6,41,1
10532.5,0,3,32,1
0,2,6,35,1
34470,1,5,61,1
51705,1,6,57,1
4979,2,6,71,1
24895,1,6,39,2
5745,1,5,30,2
91920,0,6,42,1
4979,1,5,48,1
76600,2,3,32,1
0,1,5,42,1
0,0,4,37,1
8617.5,1,6,29,1
0,1,6,74,2
63195,0,6,47,1
24895,1,6,41,1
0,1,6,71,1
16277.5,1,3,31,1
24895,1,2,33,2
12447.5,0,3,32,1
24895,2,5,48,1
42130,1,3,50,2
4979,1,6,40,1
0,0,2,27,2
24895,1,6,35,2
2681,1,6,40,1
8617.5,0,6,33,2
34470,1,6,49,2
21065,0,3,30,1
4979,1,3,22,2
383,0,6,21,2
0,1,5,21,2
0,0,6,23,1
0,0,5,67,2
0,1,6,34,1
383,0,6,18,1
0,1,6,76,2
21065,0,6,28,1
0,1,5,84,2
42130,2,2,31,1
14362.5,1,6,25,1
14362.5,2,3,38,1
8617.5,0,1,37,2
0,1,6,66,1
4213,1,6,72,2
28725,0,3,24,1
18192.5,1,5,49,2
28725,0,3,42,1
24895,2,6,48,1
28725,1,6,39,1
0,0,6,59,2
0,2,2,63,1
24895,1,4,61,1
0,1,5,48,1
14362.5,0,4,39,2
24895,2,2,32,1
12447.5,1,6,32,1
21065,0,5,27,1
16277.5,1,6,53,2
0,0,4,88,2
21065,1,6,86,2
76600,1,4,44,2
21065,1,5,37,1
0,1,5,70,2
0,1,6,31,2
0,2,5,57,1
42130,1,6,63,1
42130,2,3,47,2
