"","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"5263",2009,"2010-04-30","The Disappearance of Alice Creed","CinemaNX","UK","R","Crime",8e+05,166980,920000,192027,-727973,100,22135,6.8,"J Blakeson","Gemma Arterton","J Blakeson"
"5264",2009,"2009-08-28","Adam","Olympus Pictures","USA","PG-13","Drama",0,2277396,0,2619005.4,2619005.4,99,30860,7.2,"Max Mayer","Hugh Dancy","Max Mayer"
"5265",2009,"2009-12-11","The Limits of Control","Focus Features","USA","R","Crime",0,425025,0,488778.75,488778.75,116,17001,6.3,"Jim Jarmusch","Isaach De Bankolé","Jim Jarmusch"
"5266",2009,"2010-02-19","The Good Guy","Belladonna Productions","USA","R","Comedy",8e+06,100503,9200000,115578.45,-9084421.55,100,8288,5.9,"Julio DePietro","Alexis Bledel","Julio DePietro"
"5267",2009,"2010-05-06","Survival of the Dead","Blank of the Dead Productions","USA","R","Comedy",4e+06,101740,4600000,117001,-4482999,90,18336,4.9,"George A. Romero","Alan Van Sprang","George A. Romero"
"5268",2009,"2009-12-04","The Messenger","Oscilloscope","USA","R","Drama",6500000,66637,7475000,76632.55,-7398367.45,113,30893,7.2,"Oren Moverman","Ben Foster","Alessandro Camon"
"5269",2009,"2009-01-17","The Slammin' Salmon","Broken Lizard Industries","USA","R","Comedy",0,41588,0,47826.2,47826.2,100,11324,6.5,"Kevin Heffernan","Michael Clarke Duncan","Jay Chandrasekhar"
"5270",2009,"2009-08-01","Summer Wars","Madhouse","Japan","PG","Animation",0,78182,0,89909.3,89909.3,114,19440,7.6,"Mamoru Hosoda","Ryûnosuke Kamiki","Mamoru Hosoda"
"5271",2009,"2010-08-27","Get Low","K5 International","USA","PG-13","Drama",7500000,9176553,8625000,10553035.95,1928035.95,103,19987,7.1,"Aaron Schneider","Robert Duvall","Chris Provenzano"
"5272",2009,"2011-04-06","Ondine","Wayfare Entertainment","Ireland","PG-13","Drama",1.2e+07,548934,13800000,631274.1,-13168725.9,111,17919,6.8,"Neil Jordan","Colin Farrell","Neil Jordan"
"5273",2009,"2011-09-23","Tetro","American Zoetrope","USA","R","Drama",5e+06,518522,5750000,596300.3,-5153699.7,127,11077,6.9,"Francis Ford Coppola","Vincent Gallo","Mauricio Kartun"
"5274",2009,"2009-01-17","Mystery Team","Derrick Comedy Productions","USA","R","Comedy",0,77126,0,88694.9,88694.9,97,7956,6.8,"Dan Eckman","Donald Glover","D.C. Pierson"
"5275",2009,"2010-02-26","The Last Station","Egoli Tossell Film","UK","R","Biography",0,6616974,0,7609520.1,7609520.1,112,16078,7,"Michael Hoffman","Helen Mirren","Michael Hoffman"
"5276",2009,"2009-10-23","The Canyon","Middle Fork Productions","USA","R","Thriller",1e+07,1785,11500000,2052.75,-11497947.25,100,3453,5.9,"Richard Harrah","Eion Bailey","Steve Allrich"
"5277",2009,"2009-09-11","I Can Do Bad All by Myself","Tyler Perry Company, The","USA","PG-13","Comedy",1.3e+07,51733921,14950000,59494009.15,44544009.15,100,8640,4.2,"Tyler Perry","Tyler Perry","Tyler Perry"
"5278",2009,"2010-10-01","Arthur and the Revenge of Maltazard","EuropaCorp","France","PG","Animation",0,347136,0,399206.4,399206.4,93,6110,5.3,"Luc Besson","Freddie Highmore","Patrice Garcia"
"5279",2009,"2015-01-15","Tanner Hall","Tax Credit Finance","USA","R","Drama",3e+06,5005,3450000,5755.75,-3444244.25,96,2545,5.9,"Francesca Gregorini","Rooney Mara","Tatiana von Furstenberg"
"5280",2009,"2010-09-10","Beyond a Reasonable Doubt","Autonomous Films","USA","PG-13","Crime",2.5e+07,32409,28750000,37270.35,-28712729.65,106,11153,5.9,"Peter Hyams","Jesse Metcalfe","Peter Hyams"
"5281",2010,"2010-07-16","Inception","Warner Bros.","USA","PG-13","Action",1.6e+08,292576195,179200000,327685338.4,148485338.4,148,1629342,8.8,"Christopher Nolan","Leonardo DiCaprio","Christopher Nolan"
"5282",2010,"2010-12-17","Black Swan","Fox Searchlight Pictures","USA","R","Drama",1.3e+07,106954678,14560000,119789239.36,105229239.36,108,594148,8,"Darren Aronofsky","Natalie Portman","Mark Heyman"
"5283",2010,"2010-08-13","Scott Pilgrim vs. the World","Universal Pictures","USA","PG-13","Action",6e+07,31494270,67200000,35273582.4,-31926417.6,112,302029,7.5,"Edgar Wright","Michael Cera","Michael Bacall"
"5284",2010,"2010-02-19","Shutter Island","Paramount Pictures","USA","R","Mystery",8e+07,128012934,89600000,143374486.08,53774486.08,138,883895,8.1,"Martin Scorsese","Leonardo DiCaprio","Laeta Kalogridis"
"5285",2010,"2010-11-19","Harry Potter and the Deathly Hallows: Part 1","Warner Bros.","UK","PG-13","Adventure",0,295983305,0,331501301.6,331501301.6,146,368576,7.7,"David Yates","Daniel Radcliffe","Steve Kloves"
"5286",2010,"2010-04-16","Kick-Ass","Marv Films","UK","R","Action",3e+07,48071303,33600000,53839859.36,20239859.36,117,465530,7.7,"Matthew Vaughn","Aaron Taylor-Johnson","Jane Goldman"
"5287",2010,"2010-03-12","She's Out of My League","DreamWorks","USA","R","Comedy",2e+07,31584722,22400000,35374888.64,12974888.64,100,107464,6.4,"Jim Field Smith","Jay Baruchel","Sean Anders"
"5288",2010,"2010-04-02","Clash of the Titans","Warner Bros.","USA","PG-13","Action",1.25e+08,163214888,1.4e+08,182800674.56,42800674.56,106,241875,5.8,"Louis Leterrier","Sam Worthington","Travis Beacham"
"5289",2010,"2011-07-29","Incendies","micro_scope","Canada","R","Drama",6800000,6857096,7616000,7679947.52,63947.5199999996,131,97935,8.2,"Denis Villeneuve","Lubna Azabal","Denis Villeneuve"
"5290",2010,"2011-04-01","Insidious","Alliance Films","USA","PG-13","Horror",1500000,54009150,1680000,60490248,58810248,103,226632,6.8,"James Wan","Patrick Wilson","Leigh Whannell"
"5291",2010,"2010-10-01","The Social Network","Columbia Pictures","USA","PG-13","Biography",4e+07,96962694,44800000,108598217.28,63798217.28,120,521956,7.7,"David Fincher","Jesse Eisenberg","Aaron Sorkin"
"5292",2010,"2010-07-09","Despicable Me","Universal Pictures","USA","PG","Animation",6.9e+07,251513985,77280000,281695663.2,204415663.2,95,422190,7.7,"Pierre Coffin","Steve Carell","Cinco Paul"
"5293",2010,"2010-09-17","The Town","Warner Bros.","USA","R","Crime",3.7e+07,92186262,41440000,103248613.44,61808613.44,125,299626,7.6,"Ben Affleck","Ben Affleck","Peter Craig"
"5294",2010,"2010-11-24","Tangled","Walt Disney Animation Studios","USA","PG","Animation",2.6e+08,200821936,291200000,224920568.32,-66279431.68,100,325621,7.8,"Nathan Greno","Mandy Moore","Dan Fogelman"
"5295",2010,"2010-02-12","Percy Jackson & the Olympians: The Lightning Thief","Fox 2000 Pictures","UK","PG","Adventure",9.5e+07,88761720,106400000,99413126.4,-6986873.60000001,118,152255,5.9,"Chris Columbus","Logan Lerman","Craig Titley"
"5296",2010,"2010-12-25","The King's Speech","See-Saw Films","UK","R","Biography",1.5e+07,138797449,16800000,155453142.88,138653142.88,118,544927,8,"Tom Hooper","Colin Firth","David Seidler"
"5297",2010,"2010-09-17","Easy A","Screen Gems","USA","PG-13","Comedy",8e+06,58401464,8960000,65409639.68,56449639.68,92,301623,7.1,"Will Gluck","Emma Stone","Bert V. Royal"
"5298",2010,"2010-05-07","Iron Man 2","Paramount Pictures","USA","PG-13","Action",2e+08,312433331,2.24e+08,349925330.72,125925330.72,124,571416,7,"Jon Favreau","Robert Downey Jr.","Justin Theroux"
"5299",2010,"2010-11-24","Love & Other Drugs","Fox 2000 Pictures","USA","R","Comedy",3e+07,32367005,33600000,36251045.6,2651045.6,112,154701,6.7,"Edward Zwick","Jake Gyllenhaal","Charles Randolph"
"5300",2010,"2010-12-17","TRON: Legacy","Walt Disney Pictures","USA","PG","Action",1.7e+08,172062763,190400000,192710294.56,2310294.56,100,278124,6.8,"Joseph Kosinski","Jeff Bridges","Edward Kitsis"
"5301",2010,"2010-01-22","Legion","Bold Films","USA","R","Action",2.6e+07,40168080,29120000,44988249.6,15868249.6,100,85724,5.2,"Scott Stewart","Paul Bettany","Peter Schink"
"5302",2010,"2010-03-05","Alice in Wonderland","Walt Disney Pictures","USA","PG","Adventure",2e+08,334191110,2.24e+08,374294043.2,150294043.2,108,331389,6.5,"Tim Burton","Mia Wasikowska","Linda Woolverton"
"5303",2010,"2010-12-22","True Grit","Paramount Pictures","USA","PG-13","Adventure",3.8e+07,171243005,42560000,191792165.6,149232165.6,110,259855,7.6,"Ethan Coen","Jeff Bridges","Joel Coen"
"5304",2010,"2010-04-30","A Nightmare on Elm Street","New Line Cinema","USA","R","Horror",3.5e+07,63075011,39200000,70644012.32,31444012.32,95,79930,5.2,"Samuel Bayer","Jackie Earle Haley","Wesley Strick"
"5305",2010,"2010-10-15","RED","Summit Entertainment","USA","PG-13","Action",5.8e+07,90380162,64960000,101225781.44,36265781.44,111,254554,7.1,"Robert Schwentke","Bruce Willis","Jon Hoeber"
"5306",2010,"2010-01-15","The Book of Eli","Alcon Entertainment","USA","R","Action",8e+07,94835059,89600000,106215266.08,16615266.08,118,246433,6.9,"Albert Hughes","Denzel Washington","Gary Whitta"
"5307",2010,"2010-05-27","Sex and the City 2","New Line Cinema","USA","R","Comedy",1e+08,95347692,1.12e+08,106789415.04,-5210584.96000001,146,63699,4.4,"Michael Patrick King","Sarah Jessica Parker","Michael Patrick King"
"5308",2010,"2010-06-11","The A-Team","Twentieth Century Fox Film Corporation","USA","PG-13","Action",1.1e+08,77222099,123200000,86488750.88,-36711249.12,117,222505,6.8,"Joe Carnahan","Liam Neeson","Joe Carnahan"
"5309",2010,"2010-06-23","Knight and Day","Twentieth Century Fox Film Corporation","USA","PG-13","Action",1.17e+08,76423035,131040000,85593799.2,-45446200.8,109,157815,6.3,"James Mangold","Tom Cruise","Patrick O'Neill"
"5310",2010,"2010-06-18","Toy Story 3","Walt Disney Pictures","USA","G","Animation",2e+08,415004880,2.24e+08,464805465.6,240805465.6,103,603472,8.3,"Lee Unkrich","Tom Hanks","John Lasseter"
"5311",2010,"2011-01-28","Blue Valentine","Incentive Filmed Entertainment","USA","R","Drama",3500000,9737892,3920000,10906439.04,6986439.04,112,154714,7.4,"Derek Cianfrance","Ryan Gosling","Derek Cianfrance"
"5312",2010,"2011-03-04","I Spit on Your Grave","Cinetel Films","USA","R","Crime",2e+06,93051,2240000,104217.12,-2135782.88,108,61717,6.3,"Steven R. Monroe","Sarah Butler","Adam Rockoff"
"5313",2010,"2010-03-26","How to Train Your Dragon","DreamWorks Animation","USA","PG","Animation",1.65e+08,217581231,184800000,243690978.72,58890978.72,98,538360,8.1,"Dean DeBlois","Jay Baruchel","William Davies"
"5314",2010,"2010-03-12","Remember Me","Summit Entertainment","USA","PG-13","Drama",1.6e+07,19068240,17920000,21356428.8,3436428.8,113,121432,7.2,"Allen Coulter","Robert Pattinson","Will Fetters"
"5315",2010,"2010-05-28","Prince of Persia: The Sands of Time","Walt Disney Pictures","USA","PG-13","Action",2e+08,90759676,2.24e+08,101650837.12,-122349162.88,116,237542,6.6,"Mike Newell","Jake Gyllenhaal","Boaz Yakin"
"5316",2010,"2010-03-26","Greenberg","Scott Rudin Productions","USA","R","Comedy",0,4216789,0,4722803.68,4722803.68,107,31477,6.1,"Noah Baumbach","Ben Stiller","Jennifer Jason Leigh"
"5317",2010,"2010-12-17","The Fighter","Closest to the Hole Productions","USA","R","Biography",2.5e+07,93617009,2.8e+07,104851050.08,76851050.08,116,294996,7.8,"David O. Russell","Mark Wahlberg","Scott Silver"
"5318",2010,"2010-10-15","Never Let Me Go","DNA Films","UK","R","Drama",1.5e+07,2434652,16800000,2726810.24,-14073189.76,103,118784,7.2,"Mark Romanek","Keira Knightley","Kazuo Ishiguro"
"5319",2010,"2010-06-25","Grown Ups","Columbia Pictures","USA","PG-13","Comedy",8e+07,162001186,89600000,181441328.32,91841328.32,102,194404,6,"Dennis Dugan","Adam Sandler","Adam Sandler"
"5320",2010,"2010-08-20","Nanny McPhee Returns","Universal Pictures","UK","PG","Comedy",3.5e+07,29197642,39200000,32701359.04,-6498640.96,109,21695,6.1,"Susanna White","Emma Thompson","Emma Thompson"
"5321",2010,"2010-10-29","Saw 3D: The Final Chapter","Twisted Pictures","Canada","R","Horror",2e+07,45710178,22400000,51195399.36,28795399.36,90,74021,5.6,"Kevin Greutert","Tobin Bell","Patrick Melton"
"5322",2010,"2010-12-09","Tucker and Dale vs Evil","Reliance Big Pictures","Canada","R","Comedy",0,223838,0,250698.56,250698.56,89,140517,7.6,"Eli Craig","Tyler Labine","Eli Craig"
"5323",2010,"2010-05-14","Robin Hood","Universal Pictures","USA","PG-13","Action",2e+08,105269730,2.24e+08,117902097.6,-106097902.4,140,224548,6.7,"Ridley Scott","Russell Crowe","Brian Helgeland"
"5324",2010,"2010-07-23","Salt","Columbia Pictures","USA","PG-13","Action",1.1e+08,118311368,123200000,132508732.16,9308732.16,100,259831,6.4,"Phillip Noyce","Angelina Jolie","Kurt Wimmer"
"5325",2010,"2010-08-13","The Expendables","Millennium Films","USA","R","Action",8e+07,103068524,89600000,115436746.88,25836746.88,103,288429,6.5,"Sylvester Stallone","Sylvester Stallone","Dave Callaham"
"5326",2010,"2010-07-01","The Last Airbender","Paramount Pictures","USA","PG","Action",1.5e+08,131564731,1.68e+08,147352498.72,-20647501.28,103,127467,4.2,"M. Night Shyamalan","Noah Ringer","M. Night Shyamalan"
"5327",2010,"2010-10-08","Life as We Know It","Josephson Entertainment","USA","PG-13","Comedy",3.8e+07,53374681,42560000,59779642.72,17219642.72,100,103763,6.6,"Greg Berlanti","Katherine Heigl","Ian Deitchman"
"5328",2010,"2010-04-09","Date Night","Twentieth Century Fox Film Corporation","USA","PG-13","Comedy",5.5e+07,98711404,61600000,110556772.48,48956772.48,88,135458,6.3,"Shawn Levy","Steve Carell","Josh Klausner"
"5329",2010,"2010-11-24","Burlesque","Screen Gems","USA","PG-13","Drama",5.5e+07,39440655,61600000,44173533.6,-17426466.4,119,65689,6.4,"Steve Antin","Cher","Steve Antin"
"5330",2010,"2011-01-28","127 Hours","Pathé","USA","R","Adventure",1.8e+07,18335230,20160000,20535457.6,375457.599999998,94,299503,7.6,"Danny Boyle","James Franco","Danny Boyle"
"5331",2010,"2010-07-09","Predators","Twentieth Century Fox Film Corporation","USA","R","Action",4e+07,52000688,44800000,58240770.56,13440770.56,107,182863,6.4,"Nimród Antal","Adrien Brody","Alex Litvak"
"5332",2010,"2010-11-19","The Next Three Days","Lionsgate","USA","PG-13","Crime",3.5e+07,21148651,39200000,23686489.12,-15513510.88,133,155358,7.4,"Paul Haggis","Russell Crowe","Paul Haggis"
"5333",2010,"2010-08-06","The Other Guys","Columbia Pictures","USA","PG-13","Action",1e+08,119219978,1.12e+08,133526375.36,21526375.36,107,204044,6.7,"Adam McKay","Will Ferrell","Adam McKay"
"5334",2010,"2010-01-08","Leap Year","Universal Pictures","USA","PG","Comedy",1.9e+07,25918920,21280000,29029190.4,7749190.4,100,77685,6.5,"Anand Tucker","Amy Adams","Deborah Kaplan"
"5335",2010,"2010-06-11","The Karate Kid","Columbia Pictures","USA","PG","Action",4e+07,176591618,44800000,197782612.16,152982612.16,140,131784,6.2,"Harald Zwart","Jackie Chan","Christopher Murphey"
"5336",2010,"2010-06-30","The Twilight Saga: Eclipse","Summit Entertainment","USA","PG-13","Adventure",6.8e+07,300531751,76160000,336595561.12,260435561.12,124,195941,4.9,"David Slade","Kristen Stewart","Melissa Rosenberg"
"5337",2010,"2010-05-07","Four Lions","Film4","UK","R","Comedy",0,304137,0,340633.44,340633.44,97,61262,7.3,"Christopher Morris","Will Adamsdale","Christopher Morris"
"5338",2010,"2011-06-03","All Good Things","Groundswell Productions","USA","R","Crime",0,578382,0,647787.84,647787.84,101,45225,6.3,"Andrew Jarecki","Ryan Gosling","Marcus Hinchey"
"5339",2010,"2010-01-29","When in Rome","Touchstone Pictures","USA","PG-13","Comedy",5.5e+07,32669555,61600000,36589901.6,-25010098.4,91,53883,5.6,"Mark Steven Johnson","Kristen Bell","David Diamond"
"5340",2010,"2010-07-16","Winter's Bone","Anonymous Content","USA","R","Drama",2e+06,6531503,2240000,7315283.36,5075283.36,100,118433,7.2,"Debra Granik","Jennifer Lawrence","Debra Granik"
"5341",2010,"2010-08-20","Piranha 3D","Dimension Films","USA","R","Comedy",2.4e+07,25003155,26880000,28003533.6,1123533.6,88,76489,5.5,"Alexandre Aja","Elisabeth Shue","Pete Goldfinger"
"5342",2010,"2010-03-26","Hot Tub Time Machine","Metro-Goldwyn-Mayer (MGM)","USA","R","Comedy",3.6e+07,50287556,40320000,56322062.72,16002062.72,101,145648,6.4,"Steve Pink","John Cusack","Josh Heald"
"5343",2010,"2010-11-12","Unstoppable","Twentieth Century Fox Film Corporation","USA","PG-13","Action",1e+08,81562942,1.12e+08,91350495.04,-20649504.96,98,160551,6.8,"Tony Scott","Denzel Washington","Mark Bomback"
"5344",2010,"2010-11-24","Faster","CBS Films","USA","R","Action",2.4e+07,23240020,26880000,26028822.4,-851177.600000001,98,85407,6.5,"George Tillman Jr.","Dwayne Johnson","Tony Gayton"
"5345",2010,"2010-07-30","Centurion","Pathé Pictures International","UK","R","Action",1.2e+07,122288,13440000,136962.56,-13303037.44,97,69188,6.4,"Neil Marshall","Michael Fassbender","Neil Marshall"
"5346",2010,"2010-07-23","Ramona and Beezus","Fox 2000 Pictures","USA","G","Adventure",1.5e+07,26161406,16800000,29300774.72,12500774.72,100,14808,6.7,"Elizabeth Allen Rosenbaum","Joey King","Laurie Craig"
"5348",2010,"2010-03-19","Diary of a Wimpy Kid","Color Force","USA","PG","Comedy",1.5e+07,64003625,16800000,71684060,54884060,100,35256,6.2,"Thor Freudenthal","Zachary Gordon","Jackie Filgo"
"5349",2010,"2010-02-12","Valentine's Day","New Line Cinema","USA","PG-13","Comedy",5.2e+07,110485654,58240000,123743932.48,65503932.48,125,100570,5.7,"Garry Marshall","Julia Roberts","Katherine Fugate"
"5350",2010,"2010-01-29","Edge of Darkness","Warner Bros.","UK","R","Crime",8e+07,43313890,89600000,48511556.8,-41088443.2,117,79774,6.6,"Martin Campbell","Mel Gibson","William Monahan"
"5351",2010,"2010-07-30","Charlie St. Cloud","Universal Pictures","USA","PG-13","Drama",4.4e+07,31162545,49280000,34902050.4,-14377949.6,100,50872,6.5,"Burr Steers","Zac Efron","Craig Pearce"
"5352",2010,"2010-10-01","Let Me In","Overture Films","UK","R","Drama",2e+07,12134420,22400000,13590550.4,-8809449.6,116,99166,7.2,"Matt Reeves","Kodi Smit-McPhee","Matt Reeves"
"5353",2010,"2010-11-05","Megamind","DreamWorks Animation","USA","PG","Animation",1.3e+08,148415853,145600000,166225755.36,20625755.36,95,188234,7.3,"Tom McGrath","Will Ferrell","Alan Schoolcraft"
"5354",2010,"2010-10-15","Sepultado","Audiovisual Aval SGR","Spain","R","Drama",3e+06,1028658,3360000,1152096.96,-2207903.04,95,127979,7,"Rodrigo Cortés","Ryan Reynolds","Chris Sparling"
"5355",2010,"2010-05-21","Shrek Forever After","DreamWorks Animation","USA","PG","Animation",1.65e+08,238371987,184800000,266976625.44,82176625.44,93,150636,6.3,"Mike Mitchell","Mike Myers","William Steig"
"5356",2010,"2010-09-10","Flipped","Castle Rock Entertainment","USA","PG","Comedy",1.4e+07,1752214,15680000,1962479.68,-13717520.32,100,67346,7.7,"Rob Reiner","Madeline Carroll","Rob Reiner"
"5357",2010,"2010-12-10","The Tourist","GK Films","USA","PG-13","Action",1e+08,67631157,1.12e+08,75746895.84,-36253104.16,103,190376,6,"Florian Henckel von Donnersmarck","Johnny Depp","Florian Henckel von Donnersmarck"
"5358",2010,"2010-09-24","You Again","Touchstone Pictures","USA","PG","Comedy",2e+07,25702053,22400000,28786299.36,6386299.36,100,43588,5.8,"Andy Fickman","Kristen Bell","Moe Jelline"
"5359",2010,"2010-12-10","The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox 2000 Pictures","USA","PG","Adventure",1.55e+08,104386950,173600000,116913384,-56686616,113,116260,6.3,"Michael Apted","Ben Barnes","Christopher Markus"
"5360",2010,"2010-09-03","Machete","Overnight Films","USA","R","Action",10500000,26593646,11760000,29784883.52,18024883.52,105,173229,6.6,"Ethan Maniquis","Danny Trejo","Robert Rodriguez"
"5361",2010,"2011-11-04","Monsters","Vertigo Films","UK","R","Drama",0,237301,0,265777.12,265777.12,94,80354,6.4,"Gareth Edwards","Scoot McNairy","Gareth Edwards"
"5362",2010,"2010-07-14","The Sorcerer's Apprentice","Walt Disney Pictures","USA","PG","Action",1.5e+08,63150991,1.68e+08,70729109.92,-97270890.08,109,133390,6.1,"Jon Turteltaub","Nicolas Cage","Lawrence Konner"
"5363",2010,"2010-09-24","Wall Street: Money Never Sleeps","Twentieth Century Fox Film Corporation","USA","PG-13","Drama",7e+07,52474616,78400000,58771569.92,-19628430.08,133,88518,6.2,"Oliver Stone","Shia LaBeouf","Allan Loeb"
"5364",2010,"2010-08-05","The Man from Nowhere","Cinema Service","South Korea","R","Action",0,6460,0,7235.2,7235.2,119,48823,7.8,"Jeong-beom Lee","Bin Won","Jeong-beom Lee"
"5365",2010,"2010-02-05","Dear John","Screen Gems","USA","PG-13","Drama",2.5e+07,80014842,2.8e+07,89616623.04,61616623.04,108,115712,6.3,"Lasse Hallström","Channing Tatum","Jamie Linden"
"5366",2010,"2010-08-13","Eat Pray Love","Columbia Pictures","USA","PG-13","Drama",6e+07,80574010,67200000,90242891.2,23042891.2,133,69859,5.7,"Ryan Murphy","Julia Roberts","Ryan Murphy"
"5367",2010,"2010-11-05","Due Date","Warner Bros.","USA","R","Comedy",6.5e+07,100539043,72800000,112603728.16,39803728.16,95,287021,6.6,"Todd Phillips","Robert Downey Jr.","Alan R. Cohen"
"5368",2010,"2011-08-26","Secretos Peligrosos","Samuel Goldwyn Films","Canada","R","Action",0,1120914,0,1255423.68,1255423.68,112,27033,7.2,"Larysa Kondracki","Rachel Weisz","Larysa Kondracki"
"5369",2010,"2010-04-23","The Losers","Warner Bros.","USA","PG-13","Action",2.5e+07,23580735,2.8e+07,26410423.2,-1589576.8,97,78545,6.4,"Sylvain White","Idris Elba","Peter Berg"
"5370",2010,"2010-02-26","The Crazies","Overture Films","USA","R","Horror",2e+07,39123589,22400000,43818419.68,21418419.68,101,98210,6.5,"Breck Eisner","Radha Mitchell","Scott Kosar"
"5371",2010,"2010-10-08","It's Kind of a Funny Story","Focus Features","USA","PG-13","Comedy",8e+06,6350058,8960000,7112064.96,-1847935.04,101,116014,7.1,"Anna Boden","Keir Gilchrist","Anna Boden"
"5372",2010,"2010-12-22","Little Fockers","Universal Pictures","USA","PG-13","Comedy",1e+08,148383780,1.12e+08,166189833.6,54189833.6,98,91634,5.5,"Paul Weitz","Ben Stiller","John Hamburg"
"5373",2010,"2011-06-10","Super","This Is That Productions","USA","R","Comedy",2500000,322157,2800000,360815.84,-2439184.16,100,65689,6.8,"James Gunn","Rainn Wilson","James Gunn"
"5374",2010,"2010-06-04","Get Him to the Greek","Universal Pictures","USA","R","Comedy",0,60974475,0,68291412,68291412,109,153864,6.4,"Nicholas Stoller","Jonah Hill","Nicholas Stoller"
"5375",2010,"2011-01-21","The Way Back","Exclusive Films","USA","PG-13","Adventure",0,2701859,0,3026082.08,3026082.08,133,94377,7.3,"Peter Weir","Jim Sturgess","Keith R. Clarke"
"5376",2010,"2010-03-31","The Last Song","Touchstone Pictures","USA","PG","Drama",2e+07,62950384,22400000,70504430.08,48104430.08,100,66108,5.9,"Julie Anne Robinson","Miley Cyrus","Nicholas Sparks"
"5377",2010,"2010-06-11","Black Death","Egoli Tossell Film","Germany","R","Action",0,22554,0,25260.48,25260.48,102,38417,6.4,"Christopher Smith","Eddie Redmayne","Dario Poloni"
"5378",2010,"2010-06-03","Animal Kingdom","Porchlight Films","Australia","R","Crime",0,1044039,0,1169323.68,1169323.68,113,48461,7.3,"David Michôd","James Frecheville","David Michôd"
"5379",2010,"2010-03-14","Elektra Luxx","Gato Negro Films","USA","R","Comedy",0,10822,0,12120.64,12120.64,100,6197,5.1,"Sebastian Gutierrez","Joseph Gordon-Levitt","Sebastian Gutierrez"
"5380",2010,"2010-09-10","Resident Evil: Afterlife","Constantin Film","Germany","R","Action",6e+07,60128566,67200000,67343993.92,143993.920000002,96,143707,5.9,"Paul W.S. Anderson","Milla Jovovich","Paul W.S. Anderson"
"5381",2010,"2011-02-04","Biutiful","Menageatroz","Mexico","R","Drama",0,5101237,0,5713385.44,5713385.44,148,74415,7.5,"Alejandro González Iñárritu","Javier Bardem","Alejandro González Iñárritu"
"5382",2010,"2010-09-17","Devil","Universal Pictures","USA","PG-13","Horror",1e+07,33583175,11200000,37613156,26413156,80,112284,6.3,"John Erick Dowdle","Chris Messina","Brian Nelson"
"5383",2010,"2010-08-20","The Switch","Mandate Pictures","USA","PG-13","Comedy",1.9e+07,27758465,21280000,31089480.8,9809480.8,100,83839,6.1,"Josh Gordon","Jennifer Aniston","Allan Loeb"
"5384",2010,"2010-03-19","The Ghost Writer","R.P. Productions","France","PG-13","Drama",4.5e+07,15541549,50400000,17406534.88,-32993465.12,128,140059,7.2,"Roman Polanski","Ewan McGregor","Robert Harris"
"5385",2010,"2010-02-12","The Wolfman","Universal Pictures","USA","R","Drama",1.5e+08,61979680,1.68e+08,69417241.6,-98582758.4,103,93175,5.8,"Joe Johnston","Benicio Del Toro","Andrew Kevin Walker"
"5386",2010,"2011-09-16","Last Night","Gaumont","USA","R","Drama",0,98986,0,110864.32,110864.32,93,41908,6.6,"Massy Tadjedin","Keira Knightley","Massy Tadjedin"
"5387",2010,"2010-08-27","Takers","Screen Gems","USA","PG-13","Action",2e+07,57744720,22400000,64674086.4,42274086.4,107,49828,6.2,"John Luessenhop","Chris Brown","Peter Allen"
"5388",2010,"2010-06-18","Jonah Hex","Warner Bros.","USA","PG-13","Action",4.7e+07,10539414,52640000,11804143.68,-40835856.32,81,48504,4.7,"Jimmy Hayward","Josh Brolin","Mark Neveldine"
"5390",2010,"2010-04-23","The Back-up Plan","CBS Films","USA","PG-13","Comedy",3.5e+07,37490007,39200000,41988807.84,2788807.84,104,43272,5.3,"Alan Poul","Jennifer Lopez","Kate Angelo"
"5391",2010,"2010-03-19","The Bounty Hunter","Columbia Pictures","USA","PG-13","Action",4e+07,67061228,44800000,75108575.36,30308575.36,110,103868,5.5,"Andy Tennant","Jennifer Aniston","Sarah Thorp"
"5392",2010,"2010-03-19","The Runaways","River Road Entertainment","USA","R","Biography",1e+07,3571735,11200000,4000343.2,-7199656.8,106,41586,6.6,"Floria Sigismondi","Kristen Stewart","Floria Sigismondi"
"5393",2010,"2011-03-18","Submarine","The Weinstein Company","UK","R","Comedy",0,466702,0,522706.24,522706.24,97,72965,7.3,"Richard Ayoade","Craig Roberts","Richard Ayoade"
"5394",2010,"2010-11-12","Skyline","Rogue Pictures","USA","PG-13","Action",1e+07,21371425,11200000,23935996,12735996,97,78787,4.4,"Colin Strause","Eric Balfour","Joshua Cordes"
"5395",2010,"2010-12-17","How Do You Know","Columbia Pictures","USA","PG-13","Comedy",1.2e+08,30212620,134400000,33838134.4,-100561865.6,100,37605,5.4,"James L. Brooks","Reese Witherspoon","James L. Brooks"
"5396",2010,"2010-06-04","Frozen","A Bigger Boat","USA","R","Thriller",0,243390,0,272596.8,272596.8,93,57244,6.2,"Adam Green","Shawn Ashmore","Adam Green"
"5397",2010,"2011-01-21","Somewhere","Focus Features","USA","R","Comedy",7e+06,1768416,7840000,1980625.92,-5859374.08,97,38036,6.3,"Sofia Coppola","Stephen Dorff","Sofia Coppola"
