"","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"4106",2004,"2004-10-01","Ladder 49","Touchstone Pictures","USA","PG-13","Action",5.5e+07,74541707,72050000,97649636.17,25599636.17,115,50406,6.5,"Jay Russell","Joaquin Phoenix","Lewis Colick"
"4107",2004,"2004-08-27","Anacondas: The Hunt for the Blood Orchid","Screen Gems","USA","PG-13","Action",2.5e+07,32238923,32750000,42232989.13,9482989.13,97,23961,4.6,"Dwight H. Little","Morris Chestnut","Hans Bauer"
"4108",2004,"2004-05-28","Raising Helen","Touchstone Pictures","USA","PG-13","Comedy",5e+07,37486138,65500000,49106840.78,-16393159.22,119,32370,6,"Garry Marshall","Kate Hudson","Patrick J. Clifton"
"4109",2004,"2005-03-11","The Chorus","Vega Film","France","PG-13","Drama",0,3635164,0,4762064.84,4762064.84,97,47812,7.9,"Christophe Barratier","Gérard Jugnot","Georges Chaperot"
"4110",2004,"2005-01-21","The Woodsman","Dash Films","USA","R","Drama",0,40601,0,53187.31,53187.31,87,28874,7.2,"Nicole Kassell","Kevin Bacon","Steven Fechter"
"4112",2004,"2004-08-27","Superbabies: Baby Geniuses 2","ApolloMedia Distribution","Germany","PG","Comedy",2e+07,9109322,26200000,11933211.82,-14266788.18,88,26818,2,"Bob Clark","Jon Voight","Steven Paul"
"4113",2004,"2004-09-24","Ghost in the Shell 2: Innocence","Bandai Visual Company","Japan","PG-13","Animation",0,1043896,0,1367503.76,1367503.76,100,30980,7.6,"Mamoru Oshii","Akio Ôtsuka","Shirow Masamune"
"4114",2004,"2004-04-30","Envy","DreamWorks","USA","PG-13","Comedy",4e+07,12181484,52400000,15957744.04,-36442255.96,99,27466,4.8,"Barry Levinson","Ben Stiller","Steve Adams"
"4115",2004,"2004-04-09","The Whole Ten Yards","Nine Yards Two Productions","USA","PG-13","Comedy",4e+07,16323969,52400000,21384399.39,-31015600.61,98,48262,5.5,"Howard Deutch","Bruce Willis","Mitchell Kapner"
"4116",2004,"2004-08-06","De-Lovely","Metro-Goldwyn-Mayer (MGM)","UK","PG-13","Biography",2e+07,13337299,26200000,17471861.69,-8728138.31,125,10018,6.6,"Irwin Winkler","Kevin Kline","Jay Cocks"
"4117",2004,"2005-01-21","A Love Song for Bobby Long","Lions Gate Films","USA","R","Drama",0,159171,0,208514.01,208514.01,119,23027,7.2,"Shainee Gabel","Scarlett Johansson","Ronald Everett Capps"
"4118",2004,"2006-03-03","Night Watch","Bazelevs Production","Russia","R","Action",4200000,1487477,5502000,1948594.87,-3553405.13,114,48808,6.5,"Timur Bekmambetov","Konstantin Khabenskiy","Timur Bekmambetov"
"4120",2004,"2004-02-27","Twisted","Paramount Pictures","Germany","R","Crime",5e+07,25195050,65500000,33005515.5,-32494484.5,97,18006,5.2,"Philip Kaufman","Ashley Judd","Sarah Thorp"
"4121",2004,"2004-06-25","Two Brothers","Pathé","France","PG","Adventure",0,18947630,0,24821395.3,24821395.3,109,12650,7.1,"Jean-Jacques Annaud","Guy Pearce","Alain Godard"
"4122",2004,"2004-04-02","Home on the Range","Walt Disney Pictures","USA","PG","Animation",1.1e+08,50030461,144100000,65539903.91,-78560096.09,76,15266,5.4,"Will Finn","Judi Dench","Will Finn"
"4123",2004,"2005-01-19","The Heart Is Deceitful Above All Things","Above All Things Inc.","USA","R","Drama",0,29058,0,38065.98,38065.98,98,5569,6.6,"Asia Argento","Asia Argento","Laura Albert"
"4124",2004,"2005-01-14","In Good Company","Not specified","USA","PG-13","Comedy",2.6e+07,45489752,34060000,59591575.12,25531575.12,100,50314,6.5,"Paul Weitz","Dennis Quaid","Paul Weitz"
"4125",2004,"2004-12-25","Fat Albert","Twentieth Century Fox Film Corporation","USA","PG","Comedy",2.6e+07,48116322,34060000,63032381.82,28972381.82,93,9859,4.3,"Joel Zwick","Kenan Thompson","Bill Cosby"
"4126",2004,"2005-02-10","P.S.","Hart-Sharp Entertainment","USA","R","Comedy",0,175408,0,229784.48,229784.48,97,5299,6.3,"Dylan Kidd","Laura Linney","Helen Schulman"
"4127",2004,"2004-04-07","Johnson Family Vacation","Fox Searchlight Pictures","USA","PG-13","Comedy",1.2e+07,31179516,15720000,40845165.96,25125165.96,97,6299,4.4,"Christopher Erskin","Cedric the Entertainer","Todd R. Jones"
"4128",2004,"2004-08-06","The Door in the Floor","Focus Features","USA","R","Comedy",0,3835551,0,5024571.81,5024571.81,111,13913,6.7,"Tod Williams","Jeff Bridges","John Irving"
"4130",2004,"2005-02-03","Riding the Bullet","Motion Picture Corporation of America (MPCA)","USA","R","Horror",5e+06,101107,6550000,132450.17,-6417549.83,100,7968,5.2,"Mick Garris","Jonathan Jackson","Mick Garris"
"4131",2004,"2004-08-20","Three... Extremes","Applause Pictures","Hong Kong","R","Horror",0,75829,0,99335.99,99335.99,118,16728,7,"Fruit Chan","Bai Ling","Haruko Fukushima"
"4132",2004,"2004-03-12","Spartan","Franchise Pictures","Germany","R","Action",19250000,4434432,25217500,5809105.92,-19408394.08,102,27340,6.6,"David Mamet","Val Kilmer","David Mamet"
"4133",2004,"2005-07-29","Head in the Clouds","Remstar Productions","UK","R","Drama",0,398278,0,521744.18,521744.18,121,13138,6.6,"John Duigan","Charlize Theron","John Duigan"
"4134",2004,"2004-04-30","Bobby Jones: Stroke of Genius","Bobby Jones Films LLC","USA","PG","Biography",0,2694071,0,3529233.01,3529233.01,129,3364,6.7,"Rowdy Herrington","Jim Caviezel","Rowdy Herrington"
"4136",2004,"2004-04-30","Las leyes de atracción","Deep River Productions","Ireland","PG-13","Comedy",2.8e+07,17848322,36680000,23381301.82,-13298698.18,90,19776,5.9,"Peter Howitt","Pierce Brosnan","Aline Brosh McKenna"
